[rospy.client][INFO] 2020-09-14 12:33:43,509: init_node, name[/car_driver_node], pid[2946]
[xmlrpc][INFO] 2020-09-14 12:33:43,510: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2020-09-14 12:33:43,512: Started XML-RPC server [http://192.168.43.172:37179/]
[rospy.init][INFO] 2020-09-14 12:33:43,512: ROS Slave URI: [http://192.168.43.172:37179/]
[rospy.impl.masterslave][INFO] 2020-09-14 12:33:43,513: _ready: http://192.168.43.172:37179/
[xmlrpc][INFO] 2020-09-14 12:33:43,514: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2020-09-14 12:33:43,516: Registering with master node http://192.168.43.172:11311
[rospy.init][INFO] 2020-09-14 12:33:43,613: registered with master
[rospy.rosout][INFO] 2020-09-14 12:33:43,614: initializing /rosout core topic
[rospy.rosout][INFO] 2020-09-14 12:33:43,621: connected to core topic /rosout
[rospy.simtime][INFO] 2020-09-14 12:33:43,624: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2020-09-14 12:33:43,687: topic[/cmd_vel] adding connection to [http://192.168.43.172:34065/], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,833: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,937: topic[/zxcar/get_vel] adding connection to [/heima_base_node], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,945: topic[/zxcar/imu] adding connection to [/apply_calib], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,951: topic[/zxcar/magnetic] adding connection to [/apply_calib], count 0
[rosout][INFO] 2020-09-14 12:34:58,951: cmd_vel:-0.25,0.333333343267
[rosout][INFO] 2020-09-14 12:34:59,453: cmd_vel:-0.25,0.384615391493
[rosout][INFO] 2020-09-14 12:34:59,945: cmd_vel:-0.25,0.435897439718
[rosout][INFO] 2020-09-14 12:35:00,456: cmd_vel:-0.25,0.538461565971
[rosout][INFO] 2020-09-14 12:35:00,946: cmd_vel:-0.215539157391,0.641025662422
[rosout][INFO] 2020-09-14 12:35:01,443: cmd_vel:0.0218283124268,-1.0
[rosout][INFO] 2020-09-14 12:35:01,953: cmd_vel:-0.25,-0.487179487944
[rosout][INFO] 2020-09-14 12:35:02,448: cmd_vel:0.0113416220993,-1.0
[rosout][INFO] 2020-09-14 12:35:02,922: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:03,422: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:03,919: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:04,421: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:04,917: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:05,421: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:05,924: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:06,419: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:06,920: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:07,424: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:07,923: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:08,422: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:08,923: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:09,417: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:09,921: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:10,421: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:10,927: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:11,418: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:11,916: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:12,424: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:12,923: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:13,424: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:13,921: cmd_vel:0.0,0.0
