[rospy.client][INFO] 2020-09-15 01:10:51,528: init_node, name[/car_driver_node], pid[2351]
[xmlrpc][INFO] 2020-09-15 01:10:51,530: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2020-09-15 01:10:51,531: Started XML-RPC server [http://192.168.43.172:35699/]
[rospy.init][INFO] 2020-09-15 01:10:51,532: ROS Slave URI: [http://192.168.43.172:35699/]
[rospy.impl.masterslave][INFO] 2020-09-15 01:10:51,532: _ready: http://192.168.43.172:35699/
[rospy.registration][INFO] 2020-09-15 01:10:51,535: Registering with master node http://192.168.43.172:11311
[xmlrpc][INFO] 2020-09-15 01:10:51,536: xml rpc node: starting XML-RPC server
[rospy.init][INFO] 2020-09-15 01:10:51,633: registered with master
[rospy.rosout][INFO] 2020-09-15 01:10:51,634: initializing /rosout core topic
[rospy.rosout][INFO] 2020-09-15 01:10:51,641: connected to core topic /rosout
[rospy.simtime][INFO] 2020-09-15 01:10:51,644: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2020-09-15 01:10:51,704: topic[/cmd_vel] adding connection to [http://192.168.43.172:38425/], count 0
[rospy.internal][INFO] 2020-09-15 01:10:51,932: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2020-09-15 01:10:51,935: topic[/zxcar/get_vel] adding connection to [/heima_base_node], count 0
[rospy.internal][INFO] 2020-09-15 01:10:51,945: topic[/zxcar/imu] adding connection to [/apply_calib], count 0
[rospy.internal][INFO] 2020-09-15 01:10:51,948: topic[/zxcar/magnetic] adding connection to [/apply_calib], count 0
[rosout][INFO] 2020-09-15 01:13:07,009: cmd_vel:0.0,-0.0
[rosout][INFO] 2020-09-15 01:13:07,509: cmd_vel:0.0,-0.0
[rosout][INFO] 2020-09-15 01:13:08,010: cmd_vel:0.0,-0.0
[rosout][INFO] 2020-09-15 01:13:08,509: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-15 01:13:09,010: cmd_vel:0.0,-0.0
[rosout][INFO] 2020-09-15 01:13:09,554: cmd_vel:0.105263158679,-0.641025662422
[rosout][INFO] 2020-09-15 01:13:10,056: cmd_vel:0.105263158679,-0.333333343267
[rosout][INFO] 2020-09-15 01:13:10,509: cmd_vel:0.0,-0.0
[rosout][INFO] 2020-09-15 01:13:11,009: cmd_vel:0.0,-0.0
[rosout][INFO] 2020-09-15 01:13:11,509: cmd_vel:0.0,-0.0
[rosout][ERROR] 2020-09-15 01:13:11,574: error tail:242
[rosout][INFO] 2020-09-15 01:13:12,010: cmd_vel:0.0,-0.0
[rosout][INFO] 2020-09-15 01:13:12,550: cmd_vel:-0.171052634716,0.0769230797887
[rosout][INFO] 2020-09-15 01:13:13,055: cmd_vel:-0.171052634716,0.487179487944
[rosout][INFO] 2020-09-15 01:13:13,555: cmd_vel:-0.25,0.948717951775
[rosout][INFO] 2020-09-15 01:13:14,056: cmd_vel:0.223684206605,-0.948717951775
[rosout][INFO] 2020-09-15 01:13:14,561: cmd_vel:0.184210523963,-0.692307710648
[rosout][ERROR] 2020-09-15 01:13:14,630: error tail:158
[rosout][INFO] 2020-09-15 01:13:15,053: cmd_vel:0.184210523963,-0.538461565971
[rosout][ERROR] 2020-09-15 01:13:15,497: error tail:25
[rosout][INFO] 2020-09-15 01:13:15,554: cmd_vel:0.144736841321,-0.333333343267
[rosout][INFO] 2020-09-15 01:13:16,062: cmd_vel:0.144736841321,-0.128205135465
[rosout][INFO] 2020-09-15 01:13:16,556: cmd_vel:0.105263158679,0.0256410259753
[rosout][INFO] 2020-09-15 01:13:17,010: cmd_vel:0.0,-0.0
[rosout][INFO] 2020-09-15 01:13:17,509: cmd_vel:0.0,-0.0
[rosout][INFO] 2020-09-15 01:13:18,013: cmd_vel:0.0,-0.0
