[rosmaster.master][INFO] 2020-09-01 10:45:15,074: +PARAM [/camera/mycam/roll_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,075: +PARAM [/camera/mycam/privacy] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,076: +PARAM [/camera/mycam/backlight_compensation] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,077: +PARAM [/camera/mycam/brightness] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,078: +PARAM [/camera/mycam/contrast] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,079: +PARAM [/camera/mycam/gain] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,080: +PARAM [/camera/mycam/power_line_frequency] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,081: +PARAM [/camera/mycam/auto_hue] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,082: +PARAM [/camera/mycam/hue] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,084: +PARAM [/camera/mycam/saturation] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,085: +PARAM [/camera/mycam/sharpness] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,086: +PARAM [/camera/mycam/gamma] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,087: +PARAM [/camera/mycam/auto_white_balance] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,088: +PARAM [/camera/mycam/white_balance_temperature] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,089: +PARAM [/camera/mycam/white_balance_BU] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,090: +PARAM [/camera/mycam/white_balance_RV] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,091: +SERVICE [/camera/set_camera_info] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:15,096: +PUB [/camera/image_raw] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:15,097: +PUB [/camera/camera_info] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:15,186: +PARAM [/camera/mycam/vendor] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,189: +PARAM [/camera/mycam/product] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,192: +PARAM [/camera/mycam/serial] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,193: +PARAM [/camera/mycam/index] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,195: +PARAM [/camera/mycam/width] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,196: +PARAM [/camera/mycam/height] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,198: +PARAM [/camera/mycam/video_mode] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,200: +PARAM [/camera/mycam/frame_rate] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,201: +PARAM [/camera/mycam/timestamp_method] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,203: +PARAM [/camera/mycam/frame_id] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,206: +PARAM [/camera/mycam/camera_info_url] by /camera/mycam
