[rospy.client][INFO] 2020-09-15 01:05:54,864: init_node, name[/car_driver_node], pid[2131]
[xmlrpc][INFO] 2020-09-15 01:05:54,865: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2020-09-15 01:05:54,866: Started XML-RPC server [http://192.168.43.172:35569/]
[rospy.init][INFO] 2020-09-15 01:05:54,866: ROS Slave URI: [http://192.168.43.172:35569/]
[rospy.impl.masterslave][INFO] 2020-09-15 01:05:54,867: _ready: http://192.168.43.172:35569/
[xmlrpc][INFO] 2020-09-15 01:05:54,868: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2020-09-15 01:05:54,869: Registering with master node http://192.168.43.172:11311
[rospy.init][INFO] 2020-09-15 01:05:54,967: registered with master
[rospy.rosout][INFO] 2020-09-15 01:05:54,969: initializing /rosout core topic
[rospy.rosout][INFO] 2020-09-15 01:05:54,980: connected to core topic /rosout
[rospy.simtime][INFO] 2020-09-15 01:05:54,985: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2020-09-15 01:05:55,039: topic[/cmd_vel] adding connection to [http://192.168.43.172:46795/], count 0
[rospy.internal][INFO] 2020-09-15 01:05:55,185: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2020-09-15 01:05:55,293: topic[/zxcar/get_vel] adding connection to [/heima_base_node], count 0
[rospy.internal][INFO] 2020-09-15 01:05:55,300: topic[/zxcar/imu] adding connection to [/apply_calib], count 0
[rospy.internal][INFO] 2020-09-15 01:05:55,303: topic[/zxcar/magnetic] adding connection to [/apply_calib], count 0
[rospy.internal][INFO] 2020-09-15 01:07:22,853: topic[/cmd_vel] adding connection to [http://192.168.43.192:42947/], count 1
[rosout][INFO] 2020-09-15 01:08:27,560: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:27,604: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:27,622: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:27,651: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:27,687: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:27,729: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:27,765: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:27,784: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:27,816: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:27,856: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:27,876: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:27,907: cmd_vel:0.295245,0.0
[rosout][ERROR] 2020-09-15 01:08:27,921: error tail:209
[rosout][INFO] 2020-09-15 01:08:27,940: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:27,987: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,022: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,039: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,065: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,095: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,157: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,170: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,198: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,234: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,264: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,296: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,325: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,356: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,398: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,430: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,462: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,503: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,530: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,564: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,597: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,629: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,666: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,705: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,738: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,766: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,797: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,830: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,868: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:28,899: cmd_vel:0.295245,0.0
[rosout][INFO] 2020-09-15 01:08:30,185: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:30,682: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:30,712: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:30,743: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:30,775: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:30,815: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:30,840: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:30,877: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:30,902: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:30,934: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:30,974: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:31,004: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:31,039: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:31,066: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:31,102: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:31,129: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:31,162: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:31,201: cmd_vel:0.0,-0.59049
[rosout][INFO] 2020-09-15 01:08:31,232: cmd_vel:0.0,-0.59049
